ID	TCGA-2V-A95S-01A-11R-A37K-07_LIHC_TP	TCGA-2Y-A9GS-01A-12R-A38B-07_LIHC_TP	TCGA-2Y-A9GU-01A-11R-A38B-07_LIHC_TP	TCGA-BC-A10Q-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10T-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10W-11A-11R-A131-07_LIHC_NT	TCGA-3C-AAAU-01A-11R-A41B-07_BRCA_TP	TCGA-3C-AALJ-01A-31R-A41B-07_BRCA_TP	TCGA-3C-AALK-01A-11R-A41B-07_BRCA_TP	TCGA-A7-A0CE-11A-21R-A089-07_BRCA_NT	TCGA-A7-A0CH-11A-32R-A089-07_BRCA_NT	TCGA-A7-A0D9-11A-53R-A089-07_BRCA_NT
a100130426	0	0	0	0	0	0	0	0.480703	0	0	0	0
a100133144	1.52251	4.20962	1.92573	0.671829	0.560611	1.56579	2.98841	2.50364	2.53501	1.74058	1.63071	1.31835
a100134869	2.13545	2.45836	1.91772	0	0.852628	0.687745	2.78099	2.34964	2.4392	1.69314	1.09326	0
a10357	4.95265	4.9859	4.30693	4.5874	4.53626	4.58945	4.00938	5.04534	4.96704	4.34402	3.9329	4.42945
a10431	7.35372	7.16858	7.26123	7.28276	7.02643	7.66341	6.0139	7.21659	6.7645	6.88695	6.87911	6.64816
a136542	0	0	0	0	0	0	0	0	0	0	0	0
a155060	5.3845	5.52146	5.82008	3.28953	1.74438	4.16531	7.08003	6.38523	6.31672	5.39384	4.92304	4.67838
a26823	0.747407	1.93721	0.368462	0	0	0	0	0	0.203355	0.86164	0	0
a280660	0	0	0	0	0	0	0	0	0	0	0	0
a317712	0	0	0	0	0	0	0	0	0	0	0	0
a340602	0	3.48994	0	0	0	0	1.23288	0	0	1.23529	0	0
a388795	1.55998	0	0	0	0	0	0.368462	1.43354	1.14975	0.592568	0	0
a390284	2.20001	2.16172	1.64469	1.39632	2.1878	1.2022	1.85499	1.43354	1.70993	2.02862	2.36638	1.51378
a391343	0	1.92725	0	0	0	0	0	0	0	0	0	0
a391714	0.665302	0	1.22475	0	0	0	0.592568	0	0	0.497845	0.368462	0.368462
a404770	0	0	0	0	0	0	0	0	0	0	0	0
a441362	0	0	0	0	0	0	0	0	0	0	0	0
a442388	0	0	0	0	0	0	0	0	0	0	0	0
a553137	4.95196	6.52796	4.06526	4.85241	4.47271	5.38907	1.77317	0.531001	0	2.29103	1.22475	0
a57714	6.55251	7.50439	5.4848	4.95669	3.95789	4.40395	6.71171	5.97294	6.12906	5.49788	5.19104	6.7065
a645851	1.39632	3.99105	2.53704	0	0.310699	0.261117	4.83011	3.53271	2.75851	2.11144	2.33277	1.62067
a652919	0	0	0.368462	1.36485	0	0	3.4119	0	0	0	0	1.08488
a653553	7.10332	6.99393	5.99894	5.30827	5.47227	5.86363	5.67165	7.00455	6.00952	5.14444	5.76816	4.60276
a728045	0	0	0	0	0	0	0	0	0	0	0	0
a728603	0	0	0	0	0	0	0	0	0	0	0	0
a728788	0	1.7423	0	0.824102	0	0	0	0.506373	0.824102	0	0	0
a729884	0	0	0	0.115525	0.310699	0	4.69953	0	3.48992	2.3374	4.15723	2.90606
a8225	7.58782	7.86365	6.79682	6.45362	6.37161	6.77308	6.12991	6.48966	6.66888	6.41276	6.49899	6.14608
a90288	3.6696	4.23812	2.01608	3.25858	2.33277	3.38531	3.79639	3.14818	3.94401	3.96873	3.66896	3.77876
A1BG	10.4399	10.7351	9.32163	11.7322	11.1411	11.5191	5.28872	6.05029	5.25759	5.04647	4.68548	2.74683
A1CF	6.79794	8.0684	7.31455	7.99632	7.58325	7.94626	0	0.500595	0	0.592568	0	0
A2BP1	0	2.35548	0	0	0	0	0	0	0	0.544139	1.47944	0.368462
A2LD1	6.35663	5.30385	8.15868	6.05917	5.43499	5.77213	4.64018	5.0892	4.10353	4.78598	4.71586	4.6346
A2ML1	0	0	1.08488	0.824102	0	0.310699	1.0641	0	1.00544	2.83599	2.88682	3.11068
A2M	12.9932	11.0547	12.586	11.6867	12.263	11.8066	8.66551	9.0872	9.30212	10.6016	10.3932	10.7078
A4GALT	4.85295	5.80212	4.46082	4.11877	5.05625	4.69481	4.25543	6.35418	6.22933	6.44302	6.82992	6.29853
A4GNT	6.72623	2.28007	0	0.149823	1.58093	0.261117	2.44333	0	0	1.23529	0.368462	2.93339
AAA1	0.86164	1.26064	0	0	0	0	0.500385	0	0	0	0.368462	0
AAAS	7.36771	7.51316	6.76388	6.50877	6.21461	6.6053	6.47749	6.58546	6.65672	6.66058	6.70539	6.39145
AACSL	0	0	0	0	0	0	1.01848	1.39632	0	0.908217	0	0
AACS	6.75227	6.77308	6.7417	5.11799	4.79737	5.54126	6.99246	7.33569	6.75587	7.03268	7.68649	6.56779
AADACL2	0	0	0	0	0	0	0	0	0	0.905319	1.83474	2.02862
AADACL3	0	1.26721	0	0	0	0	0	1.00544	0	1.86078	3.4691	1.89294
AADACL4	0	0	0	0.13774	0	0	0	0	0	0	0.86164	0
AADAC	7.64683	9.95375	9.00344	9.41001	9.15926	9.59329	0	0.592568	1.39632	2.97204	4.61239	6.42995
AADAT	3.82718	5.7589	3.78947	7.47873	6.90875	7.06902	2.06435	3.96964	4.00395	4.03444	5.52891	4.31182
AAGAB	7.40245	7.67183	6.1591	6.30445	6.25575	6.55962	7.17119	7.21659	7.42922	7.27924	6.98374	6.51416
AAK1	6.96508	7.00216	7.53903	6.10702	5.86647	6.33505	6.25062	6.34467	6.59135	6.87522	6.72093	6.9403
AAMP	8.50147	8.76202	7.64252	7.92913	7.6695	8.09071	7.62761	7.73759	7.92426	7.92725	7.85905	7.59014
AANAT	0	1.78955	0	0	0	0	0.368462	1.00544	0.310699	0.500385	0.368462	0
AARS2	6.25958	7.23193	6.38317	5.74939	5.19235	5.82597	6.53799	6.08839	6.07059	6.18629	5.8595	5.42299
AARSD1	7.17166	7.49332	6.31716	6.46925	6.29157	6.63068	6.14776	5.97063	6.20372	6.54204	6.35494	6.17298
AARS	9.28545	9.75481	8.86715	8.31091	8.22255	8.23004	8.39176	7.84685	7.661	8.02753	8.07556	8.08625
AASDHPPT	7.53903	7.59186	6.79906	6.90767	6.96697	7.03262	6.69693	6.66018	6.50172	6.48693	6.49729	6.39741
AASDH	5.40268	5.78074	5.39816	5.01064	5.0876	5.3799	5.62924	5.25431	5.28586	5.75549	5.5496	5.75629
AASS	4.41654	6.81674	7.41818	8.16366	7.39756	8.19395	3.90057	4.33177	5.21648	6.38637	5.85373	6.50048
AATF	7.76938	8.30968	6.89669	6.71417	6.65286	7.10085	7.32641	7.64918	7.55809	7.03855	6.94862	6.9284
AATK	4.6364	3.87836	2.81701	3.17951	3.11068	4.17201	6.43068	4.9859	4.78549	4.51024	3.70871	3.38052
ABAT	7.76472	10.033	9.35824	10.1812	9.92157	9.70711	6.43251	5.93049	7.45156	7.11261	6.43047	5.41851
ABCA10	5.47227	4.07461	4.20613	5.1299	2.80521	4.4934	2.98741	3.31744	3.15319	5.10671	5.50167	5.50289
ABCA11P	4.67994	4.08155	4.88526	3.83894	3.76641	3.5364	4.40981	5.05637	4.91988	5.02542	4.51031	4.45041
ABCA12	0	1.70941	0	1.35355	0	1.97711	5.77524	0	7.26662	5.27771	5.64043	1.60115
ABCA13	0	3.93478	1.41296	1.36138	1.33433	1.97785	0	0.500385	1.27986	2.26623	1.39798	2.2636
ABCA17P	1.32935	2.19293	2.16364	0	1.20446	0	3.07133	2.60001	2.29379	2.49433	1.94538	1.62118
ABCA1	7.47647	7.83752	7.64775	8.32603	8.21012	7.94837	5.66802	6.53797	6.62042	6.58057	7.44733	8.12705
ABCA2	7.85399	7.73368	5.68698	7.30653	6.3699	7.46623	8.41371	8.07388	7.22712	7.06113	7.36681	7.39466
ABCA3	4.96965	5.01728	6.29527	4.78969	3.96211	4.49159	8.60736	7.32321	6.87684	7.3105	7.56825	6.84034
ABCA4	5.12396	4.7115	2.80659	2.93521	2.18721	3.25389	1.73517	1.02354	4.27483	5.04117	3.60656	2.02862
ABCA5	7.53423	7.6912	7.32777	6.84694	6.77878	6.52209	6.67972	6.32862	6.02364	6.44201	6.40281	6.85118
ABCA6	6.6958	8.63817	7.09589	8.49392	7.91972	7.99024	3.30526	4.38712	4.34863	5.81876	6.26398	7.07648
ABCA7	6.60935	6.04501	6.15273	4.77833	3.26515	5.69709	6.39351	5.95194	6.14604	5.96342	6.17493	5.33128
ABCA8	2.16172	7.39879	7.48941	7.30047	6.98008	7.36834	4.10468	3.95789	5.36825	6.652	7.58978	8.66831
ABCA9	5.86079	5.18739	6.65801	5.7589	4.4934	5.20949	3.7253	4.00476	4.23376	5.98442	6.95043	7.83033
ABCB10	7.00397	7.50988	7.36645	6.79122	6.45362	6.29895	6.2801	5.6324	6.02264	5.54982	5.78909	5.92891
ABCB11	0.685282	8.46147	5.24175	7.52779	6.54391	6.7093	0	0.500385	1.00544	1.08553	1.20446	2.91676
ABCB1	8.05801	8.60776	3.42178	7.24993	7.28001	7.90544	3.4886	3.09464	4.66419	6.15114	5.03502	5.33374
ABCB4	5.50939	8.99454	7.45761	8.43164	7.63916	8.90585	2.89368	2.78103	2.49063	3.06192	3.04171	4.11413
ABCB5	5.24702	2.10762	0	0	0	0	0.368462	1.69314	0.86164	4.5662	4.92431	3.99435
ABCB6	7.86456	8.25575	6.93109	7.16364	6.90429	7.26985	6.73345	6.4645	6.43659	6.09409	6.73387	6.57411
ABCB7	6.25575	7.33824	6.57925	6.38856	6.05209	6.41182	6.41122	4.97167	5.87373	6.25392	6.25824	6.41005
ABCB8	7.47364	7.9036	7.53956	6.94216	6.29711	6.90375	7.17911	6.49241	6.86049	6.34933	6.41273	5.97266
ABCB9	4.92304	5.82023	5.39712	3.10102	1.52418	2.53443	5.65931	5.60081	5.02666	4.64695	4.68499	3.85252
ABCC10	6.43294	6.56808	6.61874	4.59682	4.33177	4.87345	6.7238	6.33828	6.55316	5.90372	5.74195	5.38406
ABCC11	3.69449	6.68085	4.48694	5.50939	4.43471	4.36249	4.5437	0.500385	7.70128	6.08688	7.96325	1.36138
ABCC12	0	2.46996	0.368462	0	0	0.368462	0	0	4.5345	1.62067	3.24358	0
ABCC13	1.35437	1.16284	1.54544	0	0	0	0	4.68225	4.07821	0	1.20446	0
ABCC1	5.82895	6.78784	5.0814	4.60276	5.23644	5.70044	7.36161	7.37906	7.14149	6.82924	7.26534	7.28253
ABCC2	8.44548	9.16304	8.96393	8.64471	8.02715	8.51559	2.0135	1.9272	2.85858	2.33978	4.21749	3.81835
ABCC3	8.47324	9.89217	8.77338	8.74989	7.91096	8.27995	4.70653	4.97937	7.2643	6.47043	6.98722	5.30128
ABCC4	4.64498	6.43133	5.73334	3.82571	3.72408	4.78991	3.50605	4.81104	6.08766	4.93475	5.30377	4.7115
ABCC5	5.99396	7.27031	5.71043	5.0689	4.5437	5.47227	6.60844	8.10228	7.18601	6.60757	6.50688	6.38546
ABCC6P1	5.68698	6.73578	7.03086	6.8533	5.65599	6.62274	2.22419	1.03245	0.592568	2.03904	2.83774	2.53922
ABCC6P2	5.79301	5.84354	6.98193	5.51745	4.86214	5.79909	3.791	1.58093	1.43354	3.08887	4.06526	4.1975
ABCC6	7.64731	8.90612	9.19197	8.60502	8.10922	8.3914	5.07015	2.95161	2.45313	4.95852	6.29431	6.55917
ABCC8	0	2.67283	2.1619	0.203355	0.310699	0.368462	5.15916	4.54294	4.10757	5.73108	4.18175	1.67929
ABCC9	4.45121	5.39363	4.03863	7.79317	7.82285	7.44775	4.41204	5.02058	5.21424	5.59566	6.23713	8.18834
ABCD1	8.01334	7.21744	6.94119	6.02828	5.43372	6.2106	6.83577	6.84712	5.8714	5.50048	6.48416	6.3398
ABCD2	3.77448	2.16172	2.16172	0.824102	1.36138	0.368462	1.23556	3.11068	2.24623	3.22284	5.4334	7.13819
ABCD3	8.27512	8.83244	7.80832	8.68118	8.74385	8.59137	7.78215	6.65436	7.27868	8.0086	7.11305	7.04591
ABCD4	6.85857	7.52186	7.13569	7.12689	6.69332	6.76734	5.77844	5.73415	6.38039	6.6735	6.63382	6.49588
ABCE1	7.79482	7.6834	6.92264	7.43308	7.33106	7.50384	7.18173	7.16747	7.16927	7.14067	6.95797	7.05912
ABCF1	7.92117	8.60061	7.68156	7.52564	7.41397	7.7463	7.64787	7.25831	7.60471	7.38727	7.42587	7.34987
ABCF2	7.28482	7.85903	6.34739	6.22456	6.57228	6.77878	7.35171	7.24804	7.20708	7.25643	7.09263	7.00518
ABCF3	7.42655	8.03333	7.59035	7.42297	6.9976	7.4793	7.0745	7.11507	7.05571	7.01914	7.00581	6.8501
ABCG1	7.12769	5.33272	7.77444	4.86845	5.1985	5.70378	6.92872	6.37447	6.2463	6.2317	6.58776	5.64392
ABCG2	5.31321	7.93845	4.90614	6.98472	7.07157	6.88959	4.5053	3.20096	4.05528	5.43898	5.19522	4.99096
ABCG4	1.50983	0	1.74916	0.824102	1.39632	1.57061	2.16172	1.01848	1.20635	1.8679	1.34282	1.17067
ABCG5	7.02198	8.03883	7.51806	7.39449	6.87833	7.83953	0.368462	1.39632	1.56663	0.892218	1.00601	0.500385
ABCG8	6.49375	8.11821	8.04077	7.69712	7.2807	7.84189	0.592568	0	0	0	1.20446	0.592568
ABHD10	6.60935	7.21229	7.43662	7.03174	6.84375	7.09091	6.95996	6.10875	5.99623	6.47387	6.50182	6.51491
ABHD11	6.15486	7.03791	6.92658	5.49306	5.59842	5.92426	6.29675	7.61803	7.77901	6.53099	6.40031	5.02199
ABHD12B	0	3.08887	1.86508	1.67929	0.592568	1.00544	0.544525	1.01931	0.592568	1.4815	2.06435	3.11068
ABHD12	8.19671	8.08703	7.28482	7.00397	6.48158	7.45761	7.89667	7.29836	7.07094	7.0034	7.29156	6.95206
ABHD13	6.48616	6.22654	6.10479	6.37332	6.52796	6.70808	5.70318	5.52996	5.82117	6.2128	6.06326	5.94903
ABHD14A	5.84064	7.05618	6.01217	6.1181	5.79606	6.26054	5.53454	5.71342	5.82607	5.77243	6.1161	5.97361
ABHD14B	8.09682	8.8304	7.66482	8.77261	8.4747	8.63016	7.41924	7.42712	7.4616	7.71298	8.15286	8.1771
ABHD15	6.20254	6.53233	6.6958	6.85961	6.83195	7.01481	5.9691	5.30511	5.26255	5.88976	6.7683	7.33071
ABHD1	0.65033	4.98668	2.16172	4.27476	3.75889	4.48155	3.51024	1.01848	2.71202	3.22284	3.48996	3.7184
ABHD2	8.90639	10.4499	8.95053	9.45344	9.15048	9.62675	9.53905	7.68357	8.94405	7.6403	7.76721	7.91713
ABHD3	8.33207	7.45472	7.70976	6.60123	6.75693	7.06476	5.6029	5.16519	6.29175	5.83653	6.13419	5.61281
ABHD4	7.18007	7.91096	6.99026	6.23441	6.23441	6.49828	6.76915	7.55409	6.85046	6.77019	7.11244	7.69022
ABHD5	6.56948	7.2563	6.40026	6.89972	6.64639	6.81674	6.43748	6.44026	6.36698	6.82166	6.79644	7.55904
ABHD6	5.76832	7.34601	5.79606	7.50053	7.30787	7.69576	4.99301	4.448	4.22051	5.15366	6.06762	6.31708
ABHD8	6.52796	7.34213	6.85541	6.19032	5.73657	6.286	6.20713	5.82917	5.82362	5.80833	5.63373	4.91593
ABI1	7.5613	8.05403	6.80262	6.76365	6.65217	6.97147	6.69045	7.17989	6.97163	7.0716	7.02704	7.04413
ABI2	6.9187	6.95559	5.54908	5.86079	6.19032	6.25383	7.13231	6.82766	7.28267	7.32921	6.84765	6.47569
ABI3BP	4.33009	4.8544	2.62798	3.68203	5.35659	4.39564	4.94979	5.94008	6.14071	6.98152	7.53807	8.53034
ABI3	6.48464	5.93754	5.00395	4.67958	5.32301	5.80814	5.04383	5.4318	5.43539	5.86124	5.60092	5.02199
ABL1	7.31721	7.54221	6.70073	6.56667	6.05209	6.66568	7.63346	8.0516	7.89571	7.77194	7.93012	7.97743
ABL2	6.79682	6.9344	6.24611	6.1506	5.95584	6.15486	6.59628	6.99046	6.90586	6.8493	6.59086	6.99869
ABLIM1	7.77821	7.88005	6.9344	7.75577	7.36265	7.56838	7.96468	6.59913	6.87213	8.19407	8.72527	9.23364
ABLIM2	4.81196	5.61313	4.48296	3.32463	3.26707	3.37142	4.7273	3.8094	3.99903	4.91448	4.84047	4.74754
ABLIM3	7.56838	8.4253	7.84854	8.53169	8.30127	8.32676	8.31276	6.56267	5.36245	7.20141	7.66573	8.18295
ABO	1.91526	1.8111	0.368462	0	0	1.08183	4.07049	0.500385	1.70941	4.08328	2.88857	2.81701
ABP1	3.4289	8.5035	0.368462	6.9575	2.35548	1.59739	1.36138	2.97727	2.62798	2.62984	1.79534	2.81889
ABRA	0.796652	0	0	0	0	0	0.368462	0.500385	0	1.22475	1.01848	0.368462
ABR	6.72623	6.63332	6.00881	5.36598	5.31321	5.98896	8.05903	7.70422	7.28438	7.78694	7.65368	7.35411
ABT1	7.21818	7.44483	6.68211	6.54822	6.6695	6.91473	6.30497	6.45605	6.17831	6.47631	6.38521	6.04036
ABTB1	7.11477	7.63675	5.60212	6.12687	5.62402	6.90875	6.46146	6.55367	6.186	6.55432	6.79896	6.70712
ABTB2	4.68091	7.19143	6.06611	6.54247	5.10595	6.18208	4.11919	4.31781	4.05723	4.2012	4.97966	4.55344
ACAA1	8.38023	9.01566	9.12652	9.80018	9.62166	10.321	6.66273	7.19437	7.21563	7.5995	7.71037	7.3287
ACAA2	9.06659	10.2784	9.49183	9.78909	9.88756	10.3293	6.64586	7.23309	6.89753	7.36017	7.95167	8.42632
ACACA	7.56838	7.95893	7.33368	6.8533	6.49828	6.65157	8.11981	8.18977	8.12783	7.59488	7.67538	8.0381
ACACB	6.66313	8.75653	8.39976	8.53523	8.00068	8.51439	6.17538	5.61273	4.98768	7.03296	8.66476	9.62483
ACAD10	6.93245	8.4047	7.91863	7.51861	6.91473	7.1285	6.22775	6.17504	6.11636	6.30625	6.32171	6.44947
ACAD11	6.47697	7.91389	7.86556	8.66492	8.41693	8.72258	6.3129	4.44052	6.04207	6.24531	6.39906	7.38365
ACAD8	6.37502	7.46451	7.77695	6.73697	6.46147	6.76504	6.1761	6.66134	6.27942	6.55703	6.40281	6.12515
ACAD9	7.25058	8.18824	7.07157	7.27309	6.90174	7.25276	6.74694	6.80812	6.94244	6.80631	7.08509	7.17432
ACADL	1.91749	7.14045	2.36792	6.80239	6.45205	6.93925	0.65683	0	2.92432	3.47475	5.55252	6.52392
ACADM	7.93128	9.0373	8.59545	8.51118	9.00724	8.74862	7.13972	6.12276	6.86266	6.93226	7.29156	7.60344
ACADSB	7.18463	9.433	8.87417	10.0606	10.165	9.58871	7.66709	7.57477	7.68258	7.93478	7.37603	7.26523
ACADS	7.61332	8.11999	8.64435	8.99516	8.66974	9.13712	5.129	5.98214	5.04551	6.71592	7.40664	7.36352
ACADVL	10.1199	10.0461	10.0484	9.80488	9.22671	9.87576	8.03519	8.55772	8.56631	9.09864	9.03392	8.9842
ACAN	4.01856	4.12572	4.37116	1.08682	0.310699	2.44748	3.41673	4.61422	3.41145	4.08328	2.02248	1.89294
ACAP1	7.12448	4.90796	3.64575	3.75346	3.30326	5.0876	3.61158	5.74	5.02124	4.99381	5.24998	3.63513
ACAP2	6.91572	7.63868	6.90174	6.49828	6.34739	6.59167	7.22054	6.56905	6.61102	6.8028	6.94356	7.34692
ACAP3	7.3169	7.82251	7.83653	6.37511	5.63835	6.65806	7.6883	7.58594	6.99948	6.22111	6.3718	6.06431
ACAT1	8.47845	9.78075	9.65207	10.0269	9.49574	9.895	7.78917	7.76604	6.5502	7.23652	7.7031	8.26026
ACAT2	7.76327	8.23976	7.21694	8.30422	8.47071	8.52486	5.46174	6.59842	6.59134	6.07293	5.76654	5.82574
ACBD3	7.6153	7.87891	7.79647	7.08087	7.19519	7.00397	7.29602	7.29529	7.30933	6.95644	7.04788	7.02575
ACBD4	6.28972	8.128	6.48768	7.52887	6.96602	7.77737	5.76124	5.25904	5.21873	5.89239	5.98973	5.88882
ACBD5	8.12118	8.45617	8.11043	7.72886	7.65823	7.79852	6.7731	6.3526	6.52565	6.43439	6.52304	7.06043
ACBD6	6.76619	6.35611	6.19032	5.68698	5.47646	6.12468	5.70433	6.82175	6.66361	6.28339	6.12106	5.91252
ACBD7	2.00034	4.30375	2.60646	0.0577623	0.592568	2.28528	3.41791	3.69027	3.16174	3.46502	2.89296	2.1982
ACCN1	0.824102	0	0.368462	1.08553	0.592568	1.22475	4.32907	0.993783	0.368462	2.23223	1.47944	0
ACCN2	2.83627	4.84503	2.44885	0.824102	1.36138	2.53443	6.11784	3.99246	4.41744	4.88095	4.19345	4.31747
ACCN3	3.38841	4.60628	1.47944	1.36138	0	2.24574	4.92129	3.7644	5.04017	2.2054	2.18565	2.33117
ACCN4	0	0	0	0	0	0	1.39632	1.40237	1.39632	1.22475	1.62067	0
ACCN5	0	2.33277	0.368462	0	0	0	0.368462	0.578524	0	0	0	0
ACCSL	0.77484	0	0	0	0	0	0.65033	0	0	0	0	0
ACCS	6.62539	6.56667	4.52707	5.42495	4.83854	5.87774	5.94683	6.83549	5.56544	6.41224	6.11194	5.81872
ACD	6.56244	6.95177	5.22036	5.24702	5.09987	5.69709	6.41743	6.56523	5.82607	6.11953	5.87825	5.33374
ACE2	2.36638	2.54237	1.14975	4.99588	4.50253	5.01064	0.592568	0	2.22272	2.49449	2.54237	3.87675
ACER1	0	0	0	0	0	1.92226	2.02339	1.47944	1.67929	0.592568	0.876935	0
ACER2	2.46966	3.63846	3.29664	3.75346	3.81835	3.23222	4.31747	4.09817	4.94618	4.56045	4.82148	5.85875
ACER3	5.32301	6.04501	3.81835	5.04986	5.02388	5.50939	6.11174	5.00246	5.19836	5.6997	5.8666	6.88456
ACE	5.64545	6.09582	6.17794	3.53539	3.92592	4.68499	8.13215	6.01144	6.27241	6.22983	7.0721	6.98747
ACHE	4.15894	4.31781	6.02828	3.15099	3.99903	3.98051	2.62746	2.26623	2.47119	3.08052	3.84449	2.82241
ACIN1	8.14265	8.4602	7.998	7.22184	7.374	7.60937	8.09604	8.36367	8.29492	8.12508	7.94409	7.78859
ACLY	8.16052	8.64047	8.05038	7.41276	7.14441	7.57661	8.92028	8.8918	8.08145	8.1335	8.12709	7.89499
ACMSD	6.90975	7.78072	7.00579	7.98548	7.86519	8.21203	5.26968	1.69277	0.86164	3.22284	2.24202	0
ACN9	5.77144	6.52649	6.4677	5.27811	5.50939	5.73657	5.27675	4.482	4.19139	5.17723	4.99613	4.82148
ACO1	7.98514	8.63355	9.43604	8.81031	8.59804	9.10831	6.69522	6.60528	6.78108	7.20848	8.46357	9.38182
ACO2	8.21239	8.86884	9.77943	8.18178	7.85672	8.40439	7.76009	7.5758	8.07464	7.84575	8.23565	8.41801
ACOT11	2.95178	3.35377	0.0577623	2.25598	1.63643	2.93764	5.54919	4.2257	3.12702	3.83534	3.66325	2.15994
ACOT12	4.84503	8.03722	6.64639	7.91389	7.36771	8.35208	0	0.48025	0	0	0	0
ACOT13	7.85898	7.84006	7.6572	7.93456	7.72907	8.20846	6.47496	6.50128	6.26271	6.44902	6.55273	6.85291
ACOT1	6.84482	8.68101	7.25205	8.46253	7.54908	8.52971	5.93413	6.38676	6.57763	6.51278	7.37344	7.54406
ACOT2	6.36647	7.94944	6.77194	7.83676	6.90675	8.05643	5.896	5.91837	6.23095	5.97235	6.83438	7.25413
ACOT4	6.45677	6.53379	5.24702	6.29157	6.1203	6.28786	5.78482	5.51547	6.08672	5.32053	5.60922	5.74495
ACOT6	2.25843	3.7801	2.78105	3.35614	3.2513	2.95414	1.9272	1.93721	0.592568	1.56663	2.02862	3.26866
ACOT7	7.44892	7.08841	6.65028	6.40688	6.34388	6.9344	6.81519	6.96253	6.61213	6.13684	5.86553	5.40943
ACOT8	6.68934	7.1979	6.20395	6.17243	6.01335	6.33505	5.77429	6.14077	5.4991	5.68871	5.5406	5.21734
ACOT9	6.84694	7.25205	4.18455	5.84064	5.60212	6.23637	5.76773	6.32862	6.29175	6.03278	6.38711	6.53507
ACOX1	8.5936	9.65164	9.32391	9.44037	9.21024	9.59923	7.1586	7.07004	7.78319	7.22824	7.99093	8.45031
ACOX2	5.80212	8.88945	8.05198	8.79981	8.42266	8.81478	4.71079	7.1355	4.30456	5.80929	5.99161	6.45988
ACOX3	6.53379	6.52209	7.14045	7.08506	6.64379	6.72383	6.60751	5.90857	6.44684	6.48507	6.66162	6.19711
ACOXL	2.20226	1.57061	0.0577623	0.500385	0	0	2.06455	0	0.845102	0.921904	0.876935	1.22773
ACP1	8.0229	8.17329	8.04943	7.71691	7.53369	7.79893	6.62	7.24157	7.36872	7.14618	7.02003	6.91079
ACP2	8.15594	8.2741	8.96124	7.96172	7.6009	8.24065	7.08638	6.90966	6.98359	7.08028	7.34373	7.02756
ACP5	8.39548	8.27487	8.04623	7.46851	6.32972	7.47079	7.13698	8.19379	6.12636	7.18687	7.72874	6.95546
ACP6	6.09582	6.60394	5.68698	6.1591	5.76519	6.18208	5.78057	5.2008	5.82972	5.32826	6.32239	5.08381
ACPL2	5.02388	6.66823	5.55296	4.69604	4.99301	5.04343	6.19385	4.9647	5.99003	6.19288	5.84615	5.58262
ACPP	2.83627	1.98573	0.368462	0.0577623	0.310699	0	3.597	3.94866	3.08887	3.54377	3.98162	3.01829
ACPT	0	1.30054	2.827	0	0	0	0.993783	0	1.22475	0	0	0
ACRBP	3.50605	4.58815	2.16537	1.88231	1.78955	2.42155	3.38456	3.28241	3.43067	3.16947	3.41805	3.89306
ACRC	4.22819	4.50253	4.23002	1.36138	1.08488	2.53069	2.77788	3.23986	2.82241	3.24518	2.61477	3.19429
ACRV1	1.54544	1.67846	0.368462	0.500385	0	0	1.20446	1.929	0	0.77484	0	0
ACR	0	2.53443	0.368462	2.33277	1.62067	2.33117	0.921904	0.500385	1.39632	1.79663	2.16172	2.05988
ACSBG1	0	3.16311	0.993263	1.69124	1.20446	0.310699	2.54393	1.7373	2.01987	2.62984	4.34402	2.8869
ACSBG2	0	1.97818	0.115525	0	1.08488	0	1.82935	0	1.50983	2.15994	1.73452	1.40473
ACSF2	7.05012	8.75826	7.38404	7.77654	6.58064	7.85516	4.87417	4.92129	7.35061	7.37122	7.49803	7.32535
ACSF3	6.65801	7.4793	6.48768	6.77537	6.45677	7.04752	6.58111	6.25478	5.74739	6.1599	5.95133	5.63669
ACSL1	9.20251	9.83215	10.3302	11.2153	10.6617	10.6873	7.17648	7.39255	7.81739	7.8943	9.51804	10.6224
ACSL3	8.24827	8.63213	7.97316	8.07184	7.78281	8.23271	8.44153	7.52761	8.22583	8.19337	8.62214	7.56776
ACSL4	11.0692	9.04641	8.62263	7.87626	6.12468	6.44095	5.13916	6.10268	6.30922	6.96006	7.36252	7.94114
ACSL5	8.58204	8.09955	5.66296	8.21365	8.0734	8.84289	4.39197	5.72827	5.60883	6.75551	6.94065	6.86243
ACSL6	3.40973	4.7946	6.2186	4.33009	1.71101	3.69303	4.51561	1.39632	1.7373	1.95862	1.82935	0.687745
ACSM1	7.24566	5.82895	7.70075	2.14683	3.69303	6.24028	2.97579	4.00867	7.64687	3.51157	8.68022	0.368462
ACSM2A	5.90808	9.48615	9.42214	10.1457	9.59968	9.35054	0.310699	0	0.261117	1.93721	0.72115	1.7423
ACSM2B	6.24417	9.98331	9.27837	9.84644	9.35158	9.20944	0	0	0	0.802166	1.99952	0.693979
ACSM3	4.49393	7.37474	6.51788	8.07016	8.01466	8.06571	1.65053	2.7307	5.20991	5.23621	6.23987	2.38551
ACSM4	0	0.203355	0.261117	0	0	0.42252	0.203355	0	0	0	0	0
ACSM5	4.11413	9.3052	5.11199	9.34014	8.72664	8.60813	2.31326	3.38772	2.46341	4.57425	5.96204	7.21559
