ID	TCGA-2V-A95S-01A-11R-A37K-07_LIHC_TP	TCGA-2Y-A9GS-01A-12R-A38B-07_LIHC_TP	TCGA-2Y-A9GU-01A-11R-A38B-07_LIHC_TP	TCGA-BC-A10Q-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10T-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10W-11A-11R-A131-07_LIHC_NT	TCGA-3C-AAAU-01A-11R-A41B-07_BRCA_TP	TCGA-3C-AALJ-01A-31R-A41B-07_BRCA_TP	TCGA-3C-AALK-01A-11R-A41B-07_BRCA_TP	TCGA-A7-A0CE-11A-21R-A089-07_BRCA_NT	TCGA-A7-A0CH-11A-32R-A089-07_BRCA_NT	TCGA-A7-A0D9-11A-53R-A089-07_BRCA_NT
KCNN1	1.82935	3.38194	2.74137	0.0577623	0	1.00544	1.08542	1.64364	1.69698	2.26327	1.23556	0.368462
KCNN2	2.78103	3.24878	4.10275	6.76849	6.19441	5.44242	3.18636	3.40973	2.62536	2.44555	2.19988	0.515158
KCNN3	4.12141	3.30234	2.87052	1.70362	1.78955	1.00544	2.90335	3.73248	3.57893	3.00413	2.88035	2.1177
KCNN4	5.32301	4.6066	2.26419	1.59074	2.80003	2.24762	6.93478	6.86903	5.3949	6.62162	5.92555	4.16721
KCNQ1DN	0.149823	0.592568	0	0	0	0	0	0.310699	0.149823	0.368462	0.368462	0
KCNQ1OT1	3.59453	4.98565	4.21589	3.95086	2.57005	4.00104	5.30453	4.77031	4.28865	4.98447	4.52399	5.0743
KCNQ1	4.59155	5.15906	5.16479	3.95215	3.52236	4.70703	5.36919	5.05006	5.66909	6.02667	5.58834	4.99301
KCNQ2	0.149823	0.592568	0.368462	1.36138	0	0	6.0405	4.9153	0.149823	0.592568	0.0577623	0
KCNQ3	1.20446	0.592568	0	0	0	0.592568	4.14115	2.60154	2.8392	2.23223	1.55047	2.31326
KCNQ4	1.00544	2.33277	1.98281	0.0577623	1.47845	0	2.11479	1.40473	0.149823	2.2353	1.80532	2.40139
KCNQ5	2.67283	1.89294	1.01848	0	1.39632	1.57313	1.26721	1.39632	2.90622	3.50891	2.80175	1.39632
KCNRG	2.12377	2.3069	2.05307	0.747407	1.32022	2.21348	1.58222	1.97395	2.89466	2.02248	1.84965	2.02523
KCNS1	0.149823	2.98319	4.57425	0	0	1.16102	0.368462	0.261117	0.203355	3.51937	2.97066	0.921904
KCNS2	0.149823	1.80432	0	0	0.423629	0.99817	0.900601	0.500385	1.73563	2.16364	0.884814	1.1046
KCNS3	3.90176	5.24175	5.97635	5.76519	4.48672	4.52424	6.00968	6.05916	6.14516	5.97559	5.88245	4.61682
KCNT1	1.5485	1.79127	0	0.0577623	0	0.592568	0.592568	1.59435	0.899554	1.79604	1.65765	0.730401
KCNT2	6.01127	5.59842	4.78746	4.9044	4.98447	4.97811	1.71775	1.82935	2.23223	2.33277	2.39179	3.34606
KCNU1	1.56663	3.1463	0	0	0	0	5.74704	0.368462	0.203355	1.01466	0.592568	0
KCNV1	0.115525	1.78955	0	0	0	0	0	0.368462	0.592568	0.685282	0.592568	0
KCNV2	0.115525	1.78955	1.01848	0	0	0	1.08488	0.368462	0.993783	0.685282	0.310699	0
KCP	2.85245	3.47637	3.56257	1.10053	0.424181	1.16374	3.76641	2.79387	1.34078	2.02144	2.18262	2.21019
KCTD10	7.01571	6.94119	6.12905	6.27664	6.14847	6.47543	6.8095	7.70094	7.31044	7.69969	7.84677	8.13308
KCTD11	6.32794	5.70044	5.41165	5.04343	5.01064	5.65249	6.23182	6.24251	6.25984	6.26424	6.46268	6.22973
KCTD12	7.03351	7.33759	6.07074	6.06843	7.01031	6.46147	6.64765	7.00125	7.55701	8.28593	8.66936	8.57457
KCTD13	6.58893	5.9135	5.35186	5.3799	5.15906	5.50533	6.12615	6.9996	6.08859	5.37344	5.38975	4.86068
KCTD14	4.47551	6.4892	2.87505	5.0814	5.29832	5.80212	2.63509	2.62984	3.3557	6.21407	5.49705	4.22796
KCTD15	4.42107	7.17702	5.89164	4.66333	5.17615	5.59471	7.17225	6.91147	6.2856	6.56868	5.97932	5.10565
KCTD16	1.22475	0.592568	1.94538	0	0.42473	0.592568	0.368462	0.567694	1.40888	1.08829	1.60609	2.2706
KCTD17	7.02465	5.84354	4.64695	3.94401	4.10468	4.86767	5.44342	5.49706	5.14916	5.36753	5.21789	4.53626
KCTD18	6.13988	6.54535	5.69709	5.68358	5.44674	5.79909	5.99862	5.45919	5.8001	6.18637	6.21332	6.39145
KCTD19	1.22475	0.592568	0	0.203355	0	0	1.55998	1.13546	1.00544	1.22475	0.310699	0
KCTD1	5.09987	6.1203	5.50533	4.16402	3.81835	4.33009	6.6346	6.19742	6.42294	7.19571	6.40964	4.79761
KCTD20	7.01751	8.44247	7.2428	7.13648	7.03527	7.24208	7.35502	6.6888	6.99919	7.17454	7.37249	8.27217
KCTD21	6.76157	7.62071	7.21377	6.68211	6.64639	6.63857	6.44408	6.18443	5.96273	6.12857	6.03034	6.26035
KCTD2	7.55643	7.33954	6.37673	6.2672	6.28786	6.28786	6.94313	7.12607	7.50988	7.30475	7.26191	7.14504
KCTD3	8.37977	8.78416	8.97702	8.2255	7.99261	8.13886	7.79911	7.39367	8.21738	8.14518	7.5053	7.46678
KCTD4	0.13774	0.592568	0	0	0	0	0	0.368462	0.921904	1.93721	1.20446	0.48025
KCTD5	6.95559	7.15851	6.98657	6.48616	6.62936	6.79234	6.63278	7.31177	6.62044	6.1005	6.14956	5.87605
KCTD6	6.40523	6.77079	4.64018	5.26269	5.35659	5.47646	6.06081	6.72536	4.16043	5.27609	5.13285	5.20824
KCTD7	5.43372	6.22168	5.78383	3.2866	3.63338	4.31379	6.38784	5.33984	5.75639	6.11953	5.90079	6.0772
KCTD8	0.149823	0.592568	0	0	0	1.00544	0	0.368462	0.500385	1.09056	0.0577623	1.56579
KCTD9	6.05209	6.18826	6.04501	5.71703	5.47646	6.07764	6.11098	5.61933	6.00952	6.74548	6.65728	7.00702
KDELC1	5.2575	5.64897	5.09375	5.35659	4.25245	5.1985	4.83016	4.74407	5.50168	4.9322	4.34068	4.48964
KDELC2	6.84162	6.68461	4.75177	6.72503	6.77765	6.53524	6.1529	6.31231	6.71658	6.98211	7.12099	7.74039
KDELR1	8.78981	9.07567	8.99144	8.422	8.14119	8.58635	8.48439	8.79775	8.49539	8.19949	8.29674	8.02636
KDELR2	9.09549	9.91453	9.68514	9.28869	9.17337	9.46553	8.55173	8.88755	8.80221	8.31868	8.61479	8.46782
KDELR3	6.65801	7.38399	5.57215	5.56834	4.97752	6.32257	5.16312	6.37447	7.07094	5.95686	6.25896	6.65605
KDM1A	7.19968	7.91279	7.09008	6.63857	6.49677	6.58064	7.75946	7.62778	7.59664	7.57455	7.22316	6.89183
KDM1B	5.8861	7.07242	5.90263	5.38907	5.68698	5.5835	6.45715	5.24956	6.30242	6.08616	5.81411	6.01333
KDM2A	8.57357	8.86757	8.10712	7.68708	7.33433	7.78614	9.04069	7.87412	8.1598	7.99596	7.88712	7.82526
KDM2B	6.97778	6.84309	6.71834	6.27446	6.12994	6.01198	6.5164	6.9863	6.42698	6.33437	6.3272	5.95917
KDM3A	6.68211	7.40792	6.72383	6.95845	5.94803	6.14633	6.74592	7.17026	7.09627	6.91728	6.85956	7.09565
KDM3B	7.56268	7.98616	7.40123	6.88449	6.59715	6.68211	7.94362	7.51633	7.67608	7.67656	7.66503	8.0381
KDM4A	7.18307	8.07153	7.82044	6.27852	6.52796	6.52059	7.3561	6.83841	7.49343	7.19738	7.07146	7.17861
KDM4B	7.07072	6.88755	7.3025	7.16317	6.39192	7.00941	8.33045	8.49169	8.44136	8.0327	7.42385	6.443
KDM4C	6.92363	6.62274	5.82305	6.38351	6.10479	6.14204	6.5768	6.03992	5.99003	6.42363	6.25174	6.23673
KDM4DL	0.592568	1.73786	0	0	0	0	0.887123	0.368462	0.149823	0.685282	0.921904	1.39001
KDM4D	2.9591	3.43067	2.03163	0.921904	1.78955	1.42473	3.56874	2.88971	3.389	3.41805	3.31516	3.32434
KDM5A	6.48311	7.21008	6.84482	6.76964	6.6174	6.75809	7.37876	6.79064	6.93325	7.16256	7.01091	7.53676
KDM5B	7.00307	7.31189	7.64156	6.35784	6.00141	6.4892	7.79016	7.7775	8.19593	7.38648	7.31611	7.09775
KDM5C	7.8148	8.28299	7.73805	7.35052	6.71052	6.84055	8.68717	8.11157	8.09202	7.87915	7.6652	7.4659
KDM5D	7.19594	7.61382	1.01848	1.13141	5.81413	6.35784	0	0.368462	0.506373	0.368462	0.0577623	0
KDM6A	6.8222	7.16472	6.92952	6.64118	5.92693	6.02828	7.16108	6.27887	6.39432	6.65773	6.45974	6.70463
KDM6B	7.05186	6.44889	6.36303	7.03174	6.8638	7.92949	7.02087	7.25191	7.34443	6.81611	6.7918	6.50962
KDR	5.92158	7.43189	7.41938	7.20564	6.94022	6.59167	6.42248	6.61505	6.6325	7.06575	7.2259	8.26092
KDSR	7.64492	8.06903	6.93537	8.29455	8.2417	7.99901	7.5567	7.19845	7.09798	7.49768	7.51538	7.59117
KEAP1	8.52298	6.57228	8.31459	7.59136	7.50769	7.67833	7.89525	7.34159	7.25294	7.29424	7.53144	7.34659
KEL	3.49088	2.18721	0	1.70833	0	1.08488	4.50739	2.20084	1.31109	2.08581	3.29877	0.48025
KERA	0.993783	0.592568	0	0	0	0	0.592568	1.09511	3.53949	2.45043	2.62984	0.771385
KGFLP1	0.592568	1.71775	0	0	0	1.74058	2.60646	0.466051	0.87278	2.10971	0.0577623	0
KGFLP2	3.24064	4.56739	3.90126	4.95336	3.66751	2.5745	4.25033	4.09524	3.71181	5.0515	4.53342	3.68908
KHDC1L	0.592568	0.592568	0	0	0	0	0	1.09511	0.149823	0.77484	1.00544	0
KHDC1	2.11043	1.20446	1.01848	0	0.674547	0	3.93001	4.13433	2.14654	3.25478	3.15269	2.29713
KHDRBS1	8.5311	8.57678	7.94094	7.95578	7.97797	7.97143	8.36153	8.38355	8.51225	8.26842	8.09376	7.90967
KHDRBS2	0.592568	1.2022	0	0	0.426515	0	0	0.368462	0.592568	0.669224	0.685282	0
